ID	support_sol	support_hyd	support_wind	support_geo	support_nuc	support_solbio	support_liqbio	support_gasbio	knowBECCS_authored	knowBECCS_folnow	knowBECCS_folpas	knowBECCS_low	knowBECCS_no	knowBECCS_pubno	knowDACCS_authored	knowDACCS_folnow	knowDACCS_folpas	knowDACCS_low	knowDACCS_no	knowDACCS_pubno	riskgeostor_1	riskgeostor_2	riskgeostor_3	DACCS_cost1	DACCS_cost2	DACCS_biodiv1	DACCS_biodiv2	DACCS_mor1	DACCS_mor2	DACCS_mor3	DACCS_tamp1	DACCS_tamp2	DACCS_tamp3	DACCS_tamp4	DACCS_feas1	DACCS_feas2	DACCS_nec1	DACCS_nec2	DACCS_support_reas	DACCS_support_depl	BECCS_cost1	BECCS_cost2	BECCS_biodiv1	BECCS_biodiv2	BECCS_mor1	BECCS_mor2	BECCS_mor3	BECCS_tamp1	BECCS_tamp2	BECCS_tamp3	BECCS_tamp4	BECCS_feas1	BECCS_feas2	BECCS_nec1	BECCS_nec2	BECCS_support_reas	BECCS_support_depl	techopt1	techopt2	techopt3	techopt4	acadgroup	job_cat
1	6	6	6	6	3	4	4	4	Yes	No	No	No	No	1-2	Yes	No	No	No	No	1-2	3	3	3	1	1	5	1	6	3	2	1	1	1	2	2	3	5	1	3	3	1	1	1	5	6	3	3	2	4	2	2	2	2	4	2	6	4	3	1	3	3	Social Sciences and Economics	Prof
2	5	4	4	4	1	6	6	6	Yes	Yes	Yes	No	No	1-2	No	Yes	Yes	No	No	0	5	2	1	1	1	3	3	5	5	5	2	3	2	3	4	3	4	3	5	4	6	5	6	1	1	1	3	4	1	1	1	6	6	6	1	6	6	6	3	6	5	Engineering and technology	Junior
3	4	4	4	5	4	4	6	5	Yes	Yes	Yes	No	No	more than 4	No	Yes	No	No	No	0	3	1	1	5	2	6	2	3	2	2	6	2	2	2	3	5	3	5	6	4	5	3	3	3	2	2	2	6	2	2	2	5	6	4	4	6	5	6	6	6	6	Natural Sciences	Prof
4	5	5	5	5	6	5	4	5	Yes	Yes	Yes	No	No	3-4	No	No	Yes	No	No	0	3	2	1	2	1	2	1	1	1	1	2	1	1	1	4	3	2	4	4	3	5	5	4	1	3	1	1	5	1	1	1	6	5	4	2	6	6	6	4	6	4	Engineering and technology	Senior
5	6	3	6	6	4	4	5	5	No	Yes	No	No	No	0	No	Yes	No	No	No	0	5	1	1	1	1	2	1	6	1	2	1	1	1	1	3	2	5	3	6	2	3	3	3	4	3	1	2	1	1	1	1	2	2	3	3	6	3	5	2	5	5	Natural Sciences	Prof
6	6	5	6	4	2	4	4	5	No	Yes	No	No	No	0	No	Yes	No	No	No	0	3	5	4	3	1	3	3	6	4	4	1	2	4	2	5	5	5	4	5	5	4	3	1	3	2	4	3	2	1	1	1	4	4	4	3	4	4	5	2	6	5	Engineering and technology	Senior
7	6	5	6	6	3	4	3	3	Yes	Yes	Yes	No	No	more than 4	Yes	Yes	Yes	No	No	more than 4	5	2	1	2	1	3	2	3	5	4	2	2	4	2	3	4	3	4	5	5	2	1	2	4	2	4	4	2	2	4	2	3	2	1	4	5	4	3	1	4	3	Social Sciences and Economics	Senior
8	6	6	6	6	4	3	3	3	Yes	No	No	No	No	1-2	Yes	No	No	No	No	1-2	5	2	1	3	3	1	1	1	2	2	1	1	1	1	4	4	4	4	6	6	4	4	3	1	1	2	2	6	1	1	1	3	3	4	4	4	4	6	1	6	5	Natural Sciences	Senior
9	6	6	6	6	6	2	2	2	Yes	Yes	No	No	No	3-4	No	Yes	No	No	No	0	6	1	1	2	1	5	1	1	2	4	1	1	1	1	5	4	4	6	6	6	5	5	2	4	1	2	1	1	1	1	1	6	6	6	1	6	6	6	4	6	6	Natural Sciences	Prof
10	5	4	6	4	6	3	5	3	Yes	Yes	No	No	No	1-2	No	No	Yes	No	No	0	2	4	3	1	1	5	1	6	6	5	1	1	4	1	2	1	1	6	2	2	2	2	1	2	3	6	4	1	1	4	1	2	2	2	5	4	4	6	5	4	3	NA	Prof
